generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Amiodarone hydrochloride,,"tab, sterile sol",,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,"ใช้สำหรับ supraventricular, ventricular และ atrial arrhythmias",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Flecainide acetate,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมจังหวะการเต้นผิดปกติของหัวใจไม่ได้ผล,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Propafenone hydrochloride,,tab,,ง,ยาโรคเฉพาะทาง,ใช้กับโรคเฉพาะ ตามแนวทางการรักษา,🟣,Cardiovascular system,Anti-arrhythmic drugs,IX,โรคระบบไหลเวียนโลหิต,,"1. ใช้กับผู้ป่วยที่ใช้ยาอื่นควบคุมการเต้นของหัวใจไม่ได้ผล
2. ใช้สำหรับ refractory supraventricular tachyarrhythmias",,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Atenolol,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Beta-adrenoceptor blocking drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Metoprolol tartrate,,immediate release tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Beta-adrenoceptor blocking drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Propranolol hydrochloride,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Beta-adrenoceptor blocking drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Carvedilol,,tab,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Beta-adrenoceptor blocking drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ systolic heart failure,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Labetalol hydrochloride,,sterile sol,ยากำพร้า,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Beta-adrenoceptor blocking drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับ hypertensive emergencies ในหญิงตั้งครรภ์ ในกรณีที่ไม่สามารถใช้ hydralazine hydrochloride ได้,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hydralazine hydrochloride,,"tab, sterile pwdr",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,ชนิดฉีดใช้สำหรับ hypertensive emergencies¹ ในหญิงตั้งครรภ์,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium nitroprusside,,sterile pwdr,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้เป็นมาตรฐานการรักษาใน hypertensive emergencies (ยกเว้นในหญิงตั้งครรภ์),,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Methyldopa,,tab,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,ใช้สำหรับรักษาความดันเลือดสูงในหญิงตั้งครรภ์,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Prazosin hydrochloride,,tab,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Doxazosin mesilate,,immediate release tab,,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,Cardiovascular system,Drugs affecting the renin-angiotensin system and some other antihypertensive drugs,IX,โรคระบบไหลเวียนโลหิต,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
